"year","g1e3b","g2e3b","g2e6d","g3e1c","gms03b","gms06b"
"1762",27.67,NA,NA,NA,NA,NA
"1763",28.04,NA,NA,NA,NA,NA
"1764",28.08,NA,NA,NA,NA,NA
"1765",27.11,NA,24.95,NA,NA,NA
"1766",28.44,NA,28,NA,NA,NA
"1767",27.56,NA,28.84,NA,NA,NA
"1768",27.68,NA,29.04,NA,NA,NA
"1769",26.66,NA,29,NA,NA,NA
"1770",26.09,NA,27.54,NA,NA,NA
"1771",28.09,NA,26.79,NA,NA,NA
"1772",27.71,NA,28.74,NA,29.08,NA
"1773",27.79,NA,28.52,NA,28.6,NA
"1774",28.73,NA,27.99,NA,28.33,NA
"1775",28.21,NA,30.11,NA,29.14,NA
"1776",27.75,NA,28.61,NA,29.34,NA
"1777",27.68,NA,0,NA,28.25,NA
"1778",29.16,NA,25.87,NA,27.9,NA
"1779",28.43,NA,25.51,28.93,29.56,NA
"1780",29.87,NA,28.09,28.47,27.88,NA
"1781",28.65,NA,29.86,28.03,31.19,28.91
"1782",27.46,NA,29.55,28.34,27.57,28.71
"1783",27.75,NA,28.57,28.27,26.71,28.87
"1784",26.31,NA,29.02,27.98,26.62,27.26
"1785",25.82,NA,27.11,26.75,25.89,27.52
"1786",26.58,NA,27.86,26.55,25.98,28.87
"1787",27.42,NA,28.83,28.02,0,29.92
"1788",26.92,NA,29.88,27.54,0,28.25
"1789",28.12,NA,27.94,27.19,26.64,29.05
"1790",27.61,NA,29.33,28.38,27.45,28.78
"1791",27.56,NA,28.67,27.94,27.46,29.19
"1792",28.41,NA,29.11,27.44,27.02,30.11
"1793",29.26,NA,30.11,27.36,27.12,29.99
"1794",28.66,NA,30.69,28.69,28.51,29.97
"1795",29.15,NA,30.03,28.09,28.11,29.78
"1796",28.8,NA,30.75,28.15,27.98,28.82
"1797",29.28,NA,29.68,27.38,27.99,29.97
"1798",28.09,NA,29.48,28.23,27.92,29.11
"1799",29.87,NA,28.74,26.54,27.16,0
"1800",27.88,NA,29.09,0,28.12,26.85
"1801",29.04,NA,27.5,26.36,26.83,27.4
"1802",29.8,NA,0,27.28,27.38,28.17
"1803",27.46,NA,29.51,27.15,28.42,26.59
"1804",27.2,NA,27.23,25.76,26.17,27.47
"1805",28.17,NA,27.64,25.53,26.26,27.77
"1806",29.72,NA,28.47,26.55,27.3,29.19
"1807",29.31,NA,29.81,27.55,28.24,28.72
"1808",27.83,NA,30.09,27.92,28.17,28.85
"1809",26.85,NA,27.41,27.97,26.94,28.58
"1810",28.14,NA,27.95,28.13,26.96,28.59
"1811",26.92,NA,28.71,27.94,27.75,28.48
"1812",26.79,NA,28.18,28.41,26.23,27.74
"1813",27,NA,27.72,27.64,27.47,28.3
"1814",26.08,NA,0,27.77,27.35,27.77
"1815",26.65,NA,0,27.45,27.24,27.69
"1816",28.21,NA,26.6,26.41,26.3,29.93
"1817",28.62,NA,28.64,27.59,28.16,29.48
"1818",29.03,NA,27.73,28.29,27.72,30.83
"1819",27.75,NA,0,28.55,29.19,28.15
"1820",28.71,NA,28.77,27.19,27.06,29.67
"1821",0,NA,29.68,27.54,27.87,29.64
"1822",0,NA,31.04,28.93,28.72,29.36
"1823",28.21,NA,30.04,27.96,28.01,29.86
"1824",27.96,NA,30.97,28.91,28.5,29.11
"1825",28.12,NA,29.52,28.28,27.89,29.81
"1826",27.84,NA,31.79,29.51,29.36,28.16
"1827",27.37,NA,30.26,28.17,27.99,27.42
"1828",27.71,NA,28.81,26.75,26.91,27.47
"1829",26.67,NA,29.57,27.4,27.55,28.23
"1830",26.61,NA,27.97,27.38,27.42,28
"1831",28.05,NA,27.84,27.26,26.96,27.97
"1832",28.57,NA,30.03,27.59,28.06,28.43
"1833",29.36,NA,30.43,29.73,28.46,29.71
"1834",28.88,NA,30.97,0,28.68,29.96
"1835",28.13,NA,31.07,0,0,28.96
"1836",27.44,NA,30.28,0,28.47,26.7
"1837",27.97,NA,29.1,0,0,0
"1838",27.82,NA,25.8,28.2,26.99,0
"1839",27.94,NA,29.26,29.05,27.59,28.11
"1840",27.14,NA,27.87,29.71,27.14,0
"1841",28.62,NA,28.1,28.13,27.36,0
"1842",27.73,NA,0,30.03,27.51,28.08
"1843",27.71,NA,29,29.31,27.13,27.45
"1844",27.86,NA,28.28,29.12,26.97,28.2
"1845",28.65,NA,29.1,29.59,27.78,29.72
"1846",28.9,NA,30.4,30.12,28.34,28.18
"1847",0,NA,29.75,29.03,0,28.96
"1848",0,NA,29.83,0,27.88,27.97
"1849",28.16,NA,29.15,29.43,27.85,28.14
"1850",28.54,NA,29.12,27.73,27.59,28.65
"1851",28.08,NA,29.34,29.04,28.51,29.19
"1852",27.66,NA,28.24,0,27.81,28.58
"1853",28.12,NA,26.64,27.48,27.3,28.61
"1854",26.45,NA,0,27.58,28.1,27.23
